id,name,give_name,family_name,group_id,constituency_id
154,Vondra Alexandr RNDr.,Alexandr,Vondra,ods,29
155,Kramný Miloslav MUDr.,Miloslav,Kramný,suveren,20
156,Janoušek Jiří Ing.,Jiří,Janoušek,nar-soc,8
157,"Palša Stanislav RNDr., Mgr.",Stanislav,Palša,nar-soc,56
158,Malý František Ing.,František,Malý,sbb,29
159,Rampas Stanislav Ing.,Stanislav,Rampas,snk-ed,8
160,Novák Jiří,Jiří,Novák,sbb,65
161,Payne Jiří RNDr.,Jiří,Payne,svobodni,26
162,Hořčicová Marie,Marie,Hořčicová,nar-soc,77
163,Srb Václav,Václav,Srb,kc,26
164,Procházková Lenka,Lenka,Procházková,vv,23
165,Hulík Milan,Milan,Hulík,ano-2011,26
166,Žur Pavel Mgr.,Pavel,Žur,nbplk,35
167,Lorencová Jana,Jana,Lorencová,sp,74
168,Žďárský Emanuel RNDr. CSc.,Emanuel,Žďárský,nk,44
169,Nádvorník Jan,Jan,Nádvorník,svobodni,20
170,Shametiová Ariana Mgr.,Ariana,Shametiová,kons,23
171,Hovorka Ludvík Ing.,Ludvík,Hovorka,kdu-csl,80
