id,start_date,motion:name,motion:number,sources:link:url,motion:document,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present
23721,2010-11-30,volba předsedy výboru ZHMP (Ledl) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23721,1,fail,8,32,22,63,62
23722,2010-11-30,způsob volby místopředsedů kontrolního výboru ZHMP (usnesení),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23722,1,pass,60,0,1,63,61
23723,2010-11-30,volba místopředsedy kontrolního výboru ZHMP (Dlouhý) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23723,1,pass,58,0,3,63,61
23724,2010-11-30,volba místopředsedy kontrolního výboru ZHMP (Ledl) (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23724,1,pass,33,6,22,63,61
23725,2010-11-30,členové výboru finančního ZHMP (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23725,1,pass,62,0,0,63,62
23726,2010-11-30,členové všech výborů ZHMP - mimo výboru pro kulturu ZHMP (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23726,1,pass,62,0,0,63,62
23727,2010-11-30,členové výboru pro kulturu ZHMP (usnesení),1/5,Z-919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23727,1,pass,62,0,0,63,62
23728,2010-11-30,Návrh na stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (usnesení),1/6,Z-920,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23728,1,pass,37,12,13,63,62
23729,2010-11-30,zřízení výboru ZHMP pro národnostní menšiny - únor 2011 (usnesení),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23729,1,pass,60,0,1,63,61
23730,2010-11-30,stažení tisku Z - 944  (Tůma) (protinávrh na stažení),,Z-944,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23730,1,fail,30,18,11,63,59
