"identifier","start_date","motion:name","motion:number","sources:link:url","motion:document","legislative_session_id","result","counts:option:yes","counts:option:no","counts:option:abstain","number_of_people","present"
"21689","2006-11-30","K výborům Zastupitelstva hl.m.Prahy (usnesení k Z-771)","3","771","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21689","1","pass","63","0","0","67","63"
"21690","2006-11-30","Změna Jednacího řádu Zastupitelstva hl.m. Prahy (usnesení k Z-819)","4","819","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21690","1","pass","62","0","1","67","63"
"21691","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (procedurální návrh)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21691","1","fail","9","37","18","67","64"
"21692","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21692","1","fail","9","43","15","67","67"
"21693","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21693","1","fail","7","30","27","67","64"
"21694","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21694","1","fail","18","38","10","67","66"
"21695","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21695","1","fail","16","25","24","67","65"
"21700","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21700","1","pass","56","1","7","67","64"
"21701","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21701","1","fail","7","42","18","67","67"
"21702","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21702","1","fail","9","20","38","67","67"
"21703","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21703","1","fail","13","25","29","67","67"
"21704","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21704","1","pass","54","0","13","67","67"
"21705","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21705","1","fail","9","27","30","67","66"
"21706","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21706","1","fail","8","46","13","67","67"
"21707","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21707","1","fail","7","53","7","67","67"
"21708","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21708","1","pass","42","3","22","67","67"
"21709","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21709","1","fail","10","41","16","67","67"
"21716","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21716","1","fail","11","39","16","67","66"
"21717","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21717","1","fail","16","14","34","67","64"
"21718","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (protinávrh k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21718","1","fail","18","37","11","67","66"
"21723","2006-11-30","Ke konečnému návrhu rozpočtu vlastního hlavního města Prahy na rok 2007 a dotačním vztahům k městským částem hlavního města Prahy na rok 2007 (usnesení k Z-787)","5","787","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21723","1","pass","55","4","6","67","65"
"21252","2006-12-21","2. zasedání (zařazení tisku)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21252","2","pass","63","0","1","68","64"
"21253","2006-12-21","2. zasedání (zařazení tisku)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21253","2","pass","65","0","0","68","65"
"21254","2006-12-21","2. zasedání (schválení programu)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21254","2","pass","65","0","0","68","65"
"21255","2006-12-21","2. zasedání (návrhový výbor)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21255","2","pass","64","0","0","68","64"
"21215","2006-12-21","Návrh  personálního obsazení výborů ZHMP (usnesení k Z-834)","1","834","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21215","2","pass","65","0","0","68","65"
"21216","2006-12-21","Usnesení ke změně účelu zůstatků investičních dotací poskytnutých MČ Praha - Libuš usnesením ZHMP č. 37/09 ze dne 27.4.2006 a (usnesení k Z-732)","2","732","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21216","2","pass","64","0","1","68","65"
"21217","2006-12-21","Usnesení k návrhu na úpravu rozpočtu hlavního města Prahy v roce 2006 v návaznosti na snížení účelové investiční dotace z rozpočtu (usnesení k Z-019)","3","019","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21217","2","pass","60","0","0","68","60"
"21140","2006-12-21","Usnesení k návrhu na úpravu rozpočtu hlavního města Prahy v roce 2006 v návaznosti na snížení účelové investiční dotace z rozpočtu (usnesení k Z-774)","4","774","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21140","2","pass","59","0","0","68","59"
"21141","2006-12-21","Usnesení k návrhu na změnu části půjčky poskytnuté MČ Praha - Dolní Měcholupy  na akci  JPD 2 - Pořízení úpravy parku D. Měcholupy (usnesení k Z-782)","5","782","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21141","2","pass","61","0","0","68","61"
"21142","2006-12-21","Usnesení k návrhu na poskytnutí bezúročné půjčky městské části Praha - Klánovice na financování projektu JPD2 (usnesení k Z-848)","6","848","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21142","2","pass","61","0","0","68","61"
"20375","2006-12-21","Usnesení k návrhu na poskytnutí účelové investiční dotace MČ Praha 20 na financování akce Divadlo Pohoda - zkvalitnění veřejné (procedurální návrh)","7","851","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=20375","2","fail","20","21","22","68","63"
"20376","2006-12-21","Usnesení k návrhu na poskytnutí účelové investiční dotace MČ Praha 20 na financování akce Divadlo Pohoda - zkvalitnění veřejné (usnesení k Z-851)","7","851","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=20376","2","pass","38","13","14","68","65"
"21616","2006-12-21","Usnesení k návrhu na navýšení rozpočtu hlavního města Prahy v roce 2006 o účelovou investiční dotaci ze státního rozpočtu z Ministerstva (usnesení k Z-792)","8","792","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21616","2","pass","61","0","1","68","62"
"21617","2006-12-21","Usnesení k závěrečné zprávě o inventarizaci majetku a závazků hl.m. Prahy za rok 2005 (usnesení k Z-832)","9","832","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21617","2","pass","50","1","9","68","60"
"21618","2006-12-21","Návrh obecně závazné vyhlášky hl.m. Prahy, kterou se mění vyhláška č. 32/1999 Sb. hl.m. Prahy o závazné části územního plánu sídelního útvaru hl.m. Prahy, ve znění pozdějších předpisů (změny Z 0637/04 a Z 01524/00) (usnesení k Z-868)","10","868","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21618","2","pass","50","0","7","68","57"
"21619","2006-12-21","Návrh obecně závazné vyhlášky hl.m. Prahy, kterou se mění vyhláška č. 32/1999 Sb. hl.m. Prahy o závazné části územního plánu sídelního útvaru hl.m. Prahy, ve znění pozdějších předpisů (změny Z 0637/04 a Z 01524/00) (usnesení k Z-868)","10","868","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21619","2","pass","52","0","5","68","57"
"21620","2006-12-21","Návrh obecně závazné vyhlášky hl.m. Prahy, kterou se mění vyhláška č. 32/1999 Sb. hl.m. Prahy o závazné části územního plánu sídelního útvaru hl.m. Prahy, ve znění pozdějších předpisů (změny Z 0637/04 a Z 01524/00) (usnesení k Z-868)","10","868","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21620","2","pass","52","0","5","68","57"
"21621","2006-12-21","Usnesení k volbě členů Výboru Regionální rady regionu soudržnosti Praha (udělení slova)","11","825","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21621","2","fail","27","4","24","68","55"
"21622","2006-12-21","Usnesení k volbě členů Výboru Regionální rady regionu soudržnosti Praha (protinávrh k Z-825 - zmatečné)","11","825","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21622","2","fail","14","25","12","68","51"
"21623","2006-12-21","Usnesení k volbě členů Výboru Regionální rady regionu soudržnosti Praha (protinávrh k Z-825)","11","825","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21623","2","fail","8","33","19","68","60"
"21624","2006-12-21","Usnesení k volbě členů Výboru Regionální rady regionu soudržnosti Praha (usnesení k Z-825)","11","825","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21624","2","pass","59","2","2","68","63"
"21601","2006-12-21","Návrh na schválení akcí (projektů) doporučených k uzavření smlouvy o financování akce z 3. kola Výzvy k předkládání akcí (projektů) v Grantovém schématu na podporu rozvoje malého a středního podnikání v rámci opatření 2.2.1. JPD 2 regionu soudržnosti Praha (usnesení k Z-768)","12","768","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21601","2","pass","56","0","0","68","56"
"21602","2006-12-21","Žádosti o finanční podporu předložené ve 4. výzvě v rámci grantového schématu opatření 2.1. Integrace specifických skupin obyvatelstva ohrožených sociální exkluzí JPD pro Cíl 3 regionu NUTS 2 hl.m. Praha (usnesení k Z-810)","13","810","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21602","2","pass","43","5","5","68","53"
"21603","2006-12-21","Žádosti o finanční podporu předložené ve 4. výzvě v rámci grantového schématu opatření 2.1. Integrace specifických skupin obyvatelstva ohrožených sociální exkluzí JPD pro Cíl 3 regionu NUTS 2 hl.m. Praha (usnesení k Z-810)","13","810","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21603","2","pass","52","0","2","68","54"
"21604","2006-12-21","Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, kterou se vydává Statut hlavního města Prahy, ve znění pozdějších předpisů – oblast sociálních služeb a pomoci v hmotné nouzi (usnesení k Z-778)","14","778","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21604","2","pass","52","0","0","68","52"
"21605","2006-12-21","Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, kterou se vydává Statut hlavního města Prahy, ve znění pozdějších předpisů - oblast sociálně-právní ochrany dětí
Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m (usnesení k Z-789)","15","789","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21605","2","pass","52","0","0","68","52"
"21606","2006-12-21","Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, kterou se vydává Statut hl.m. Prahy, ve znění pozdějších předpisů (usnesení k Z-814)","16","814","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21606","2","pass","54","0","0","68","54"
"21607","2006-12-21","Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, kterou se vydává Statut hl.m. Prahy, ve znění pozdějších předpisů, v souvislosti se zákonem č. 216/2006 Sb., kterým se mění zákon č. 121/2000 Sb., o právu autorském, o právech souvisejících s právem aut (usnesení k Z-764)","17","764","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21607","2","pass","57","0","0","68","57"
"21608","2006-12-21","Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, kterou se vydává Statut hl.m. Prahy, ve znění pozdějších předpisů, v souvislosti s vydáním zákona č. 132/2006 Sb., o kronikách obcí (usnesení k Z-769)","18","769","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21608","2","pass","56","0","0","68","56"
"21625","2006-12-21","Návrh obecně závazné vyhlášky hl.m. Prahy o školských obvodech základních škol (usnesení k Z-823)","19","823","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21625","2","pass","58","0","1","68","59"
"21626","2006-12-21","Návrh obecně závazné vyhlášky hl.m. Prahy o aktualizaci cenové mapy stavebních pozemků na území Prahy (usnesení k Z-796)","20","796","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21626","2","pass","54","0","3","68","57"
"21609","2006-12-21","Usnesení k návrhu stanoviska Zastupitelstva hl.m. Prahy k usnesení ze setkání starostů městských částí hl.m. Prahy, Praha 1 - 22 ze dne 12.12.2006 (protinávrh k Z-855)","21","855","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21609","2","fail","18","17","22","68","57"
"21610","2006-12-21","Usnesení k návrhu stanoviska Zastupitelstva hl.m. Prahy k usnesení ze setkání starostů městských částí hl.m. Prahy, Praha 1 - 22 ze dne 12.12.2006 (usnesení k Z-855)","21","855","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21610","2","pass","49","0","10","68","59"
"21627","2006-12-21","Návrh na revokaci usnesení ZHMP č. 40/05 ze dne 14.9.2006 k návrhu na zřízení nadačního fondu „Bezpečná Praha“ (usnesení k Z-811)","22","811","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21627","2","pass","53","0","1","68","54"
"21535","2006-12-21","Návrh na volbu přísedících Městského soudu v Praze (usnesení k Z-813)","23","813","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21535","2","pass","59","0","0","68","59"
"21611","2006-12-21","Usnesení k návrhu na revokaci usnesení Zastupitelstva hl.m. Prahy č. 30/43, odst. III. ze dne 31.5.2001 a k návrhu na zmocnění pro Radu hlavního města Prahy (usnesení k Z-853)","24","853","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21611","2","pass","55","1","1","68","57"
"21536","2006-12-21","2. zasedání (změna programu)","","","http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18282&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=21536","2","pass","46","0","8","68","54"
