id,start_date,motion:name,motion:number,motion:document,sources:link:url,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present,identifier
32533,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32533,1,pass,33,2,27,65,62,32533
32535,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32535,1,pass,33,1,28,65,62,32535
32537,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32537,1,pass,33,13,15,65,62,32537
32539,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32539,1,pass,36,0,26,65,62,32539
32541,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32541,1,pass,33,3,26,65,62,32541
32543,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32543,1,fail,22,14,26,65,62,32543
32545,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32545,1,fail,12,12,37,65,62,32545
32547,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32547,1,fail,27,9,26,65,62,32547
32549,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32549,1,pass,33,0,2,65,62,32549
32551,2014-11-26,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=29783&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=32551,1,pass,55,1,6,65,62,32551
