id,name,given_name,family_name,gender
5300,Václav Mencl,Václav,Mencl,male
5769,Zdenka Dopitová,Zdenka,Dopitová,female
375,Josef Ježek,Josef,Ježek,male
5509,Milan Šmíd,Milan,Šmíd,male
5497,Daniel Reisiegel,Daniel,Reisiegel,male
5500,Aleš Řebíček,Aleš,Řebíček,male
5767,Jiří Janeček,Jiří,Janeček,male
374,Libor Ježek,Libor,Ježek,male
5452,Petr Červenka,Petr,Červenka,male
5294,Petr Zgarba,Petr,Zgarba,male
5301,David Šeich,David,Šeich,male
5469,Gabriela Kalábková,Gabriela,Kalábková,female
218,Zdeněk Jičínský,Zdeněk,Jičínský,male
309,Pavel Kováčik,Pavel,Kováčik,male
5273,Jiří Pospíšil,Jiří,Pospíšil,male
5520,Vladislav Vilímec,Vladislav,Vilímec,male
356,Michal Doktor,Michal,Doktor,male
406,Alena Páralová,Alena,Páralová,female
5307,Alexander Černý,Alexander,Černý,male
5504,Petr Sunkovský,Petr,Sunkovský,male
235,Ladislav Skopal,Ladislav,Skopal,male
5263,Anna Čurdová,Anna,Čurdová,female
5295,Milan Bičík,Milan,Bičík,male
31,Václav Exner,Václav,Exner,male
5451,Josef Čerňanský,Josef,Čerňanský,male
