id,name,given_name,family_name,gender,national_identity,municipality
57,Stanislav Husár,Stanislav,Husár,male,slovenská,Bratislava
126,Olga Szabó,Olga,Szabó,male,maďarská,Patince
127,František Šebej,František,Šebej,male,slovenská,Bratislava
6,Mária Angelovičová,Mária,Angelovičová,female,slovenská,Nitra
136,Jozef Tarčák,Jozef,Tarčák,male,slovenská,Námestovo
9,Vladimír Bajan,Vladimír,Bajan,male,slovenská,Bratislava
123,Ján Slota,Ján,Slota,male,slovenská,Žilina
93,Víťazoslav Móric,Víťazoslav,Móric,male,slovenská,Martin
145,Pavol Vrždák,Pavol,Vrždák,male,slovenská,Prešov
58,Augustín Marián Húska,Augustín,Húska,male,slovenská,Bratislava
69,Jozef Klemens,Jozef,Klemens,male,slovenská,Trenčín
54,Milan Hort,Milan,Hort,male,slovenská,Nová Dubnica
141,Katarína Tóthová,Katarína,Tóthová,female,slovenská,Bratislava
204,Alexander Slafkovský,Alexander,Slafkovský,male,slovenská,Liptovský Mikuláš
223,Bartolomej Bak,Bartolomej,Bak,male,slovenská,Komárany
13,Rudolf Bauer,Rudolf,Bauer,male,slovenská,Košice
151,Gabriel Palacka,Gabriel,Palacka,male,slovenská,Bratislava
135,Juraj Švec,Juraj,Švec,male,slovenská,Bratislava
78,Peter Kresánek,Peter,Kresánek,male,slovenská,Bratislava
199,Roman Šipoš,Roman,Šipoš,male,slovenská,Stará Ľubovňa
128,Rastislav Šepták,Rastislav,Šepták,male,slovenská,Dubnica nad Váhom
85,Jirko Malchárek,Jirko,Malchárek,male,česká,Bratislava
124,Viliam Sopko,Viliam,Sopko,male,slovenská,Prešov
155,Miklós Fehér,Miklós,Fehér,male,maďarská,Komárno
28,Pavel Delinga,Pavel,Delinga,male,slovenská,Devičany
224,Ľuboš Lackovič,Ľuboš,Lackovič,male,slovenská,Považská Bystrica
219,Peter Chudík,Peter,Chudík,male,slovenská,Lipany
51,Roman Hofbauer,Roman,Hofbauer,male,slovenská,Bratislava
77,Peter Kresák,Peter,Kresák,male,slovenská,Bratislava
71,László Köteles,László,Köteles,male,maďarská,Moldava nad Bodvou
176,Pavol Kanis,Pavol,Kanis,male,slovenská,Bratislava
47,Pavol Hajdúk,Pavol,Hajdúk,male,slovenská,Dolný Kubín
165,Brigita Schmögnerová,Brigita,Schmögnerová,female,slovenská,Bratislava
48,František Halmeš,František,Halmeš,male,slovenská,Považská Bystrica
1,Marta Aibeková,Marta,Aibeková,female,slovenská,Bratislava
7,Marian Antecký,Marian,Antecký,male,slovenská,Kysucké Nové Mesto
19,Jozef Brhel,Jozef,Brhel,male,slovenská,Bratislava
76,Gustáv Krajči,Gustáv,Krajči,male,slovenská,Spišská Nová Ves
101,Peter Ošváth,Peter,Ošváth,male,slovenská,Piešťany
92,František Mikloško,František,Mikloško,male,slovenská,Bratislava
133,Pavol Števček,Pavol,Števček,male,slovenská,Bratislava
86,Anna Belousovová,Anna,Belousovová,female,slovenská,Čadca
4,Ľubomír Andrassy,Ľubomír,Andrassy,male,slovenská,Spišská Nová Ves
30,Michal Drobný,Michal,Drobný,male,slovenská,Martin
62,Ján Jasovský,Ján,Jasovský,male,slovenská,Zvolenská Slatina
41,Ján Gabriel,Ján,Gabriel,male,slovenská,Trnava
15,Ján Benčat,Ján,Benčat,male,slovenská,Žilina
220,Gabriel Karlin,Gabriel,Karlin,male,slovenská,Veľký Krtíš
20,Peter Brňák,Peter,Brňák,male,slovenská,Bratislava
182,Ladislav Pittner,Ladislav,Pittner,male,slovenská,Bratislava
45,Ivan Gašparovič,Ivan,Gašparovič,male,slovenská,Bratislava
183,Tibor Šagát,Tibor,Šagát,male,slovenská,Bratislava
21,Július Brocka,Július,Brocka,male,slovenská,Križovany nad Dudváhom
89,Marián Mesiarik,Marián,Mesiarik,male,slovenská,Bratislava
91,Jozef Migaš,Jozef,Migaš,male,slovenská,Bratislava
87,Vladimír Maňka,Vladimír,Maňka,male,slovenská,Zvolen
107,Jozef Prokeš,Jozef,Prokeš,male,slovenská,Bratislava
122,Dušan Slobodník,Dušan,Slobodník,male,slovenská,Bratislava
61,Dušan Jarjabek,Dušan,Jarjabek,male,slovenská,Bratislava
142,Jozef Tuchyňa,Jozef,Tuchyňa,male,slovenská,Trenčín
3,Marián Andel,Marián,Andel,male,slovenská,Bratislava
222,Vladimír Pavelka,Vladimír,Pavelka,male,slovenská,Dolný Kubín
98,Branislav Orava,Branislav,Orava,male,slovenská,Žilina
40,Robert Fico,Robert,Fico,male,slovenská,Bratislava
24,Tibor Cabaj,Tibor,Cabaj,male,slovenská,Kuzmice
125,Miloslav Suchár,Miloslav,Suchár,male,slovenská,Krupina
52,Anton Hoffmann,Anton,Hoffmann,male,slovenská,Banská Bystrica
140,Imrich Tóth,Imrich,Tóth,male,česká,Kolárovo
174,Pavol Hamžík,Pavol,Hamžík,male,slovenská,Bratislava
99,Ladislav Orosz,Ladislav,Orosz,male,slovenská,Košice
137,Peter Tatár,Peter,Tatár,male,slovenská,Bratislava
5,Imrich Andrejčák,Imrich,Andrejčák,male,slovenská,Bratislava
16,Milan Benkovský,Milan,Benkovský,male,slovenská,Senec
84,Ivan Lexa,Ivan,Lexa,male,slovenská,Bratislava
96,László A. Nagy,László,Nagy,male,maďarská,Bratislava
55,Pavol Hrušovský,Pavol,Hrušovský,male,slovenská,Nitra
173,Milan Ftáčnik,Milan,Ftáčnik,male,slovenská,Bratislava
113,Štefan Rusnák,Štefan,Rusnák,male,slovenská,Prešov
144,Jaroslav Volf,Jaroslav,Volf,male,česká,Bratislava
221,Marcela Pčolinská,Marcela,Pčolinská,female,slovenská,Nižný Hrabovec
121,Eva Slavkovská,Eva,Slavkovská,female,slovenská,Bratislava
147,Anna Záborská,Anna,Záborská,female,slovenská,Bojnice
138,Vojtech Tkáč,Vojtech,Tkáč,male,slovenská,Košice
202,Peter Finďo,Peter,Finďo,male,slovenská,Banská Bystrica
36,Vladimír Faič,Vladimír,Faič,male,slovenská,Prašice
153,Stanislav Škoda,Stanislav,Škoda,male,slovenská,Malé Kršteňany
120,Jaroslav Slaný,Jaroslav,Slaný,male,slovenská,Sebechleby
35,Alojz Engliš,Alojz,Engliš,male,slovenská,Nováčany
134,Dušan Švantner,Dušan,Švantner,male,slovenská,Brezno
42,Jozef Gajdoš,Jozef,Gajdoš,male,slovenská,Zemplínske Hámre
132,Pavel Šťastný,Pavel,Šťastný,male,slovenská,Nitra
22,Ján Budaj,Ján,Budaj,male,slovenská,Bratislava
29,Erzsébet Dolník,Erzsébet,Dolník,female,maďarská,Levice
25,Milan Cagala,Milan,Cagala,male,slovenská,Nové Mesto nad Váhom
39,Barnabás Ferkó,Barnabás,Ferkó,male,maďarská,Veľké Kapušany
32,Árpád Duka-Zólyomi,Árpád,Duka-Zólyomi,male,maďarská,Bratislava
33,Miklós Duray,Miklós,Duray,male,maďarská,Bratislava
97,Viliam Oberhauser,Viliam,Oberhauser,male,slovenská,Bratislava
109,Alojz Rakús,Alojz,Rakús,male,slovenská,Bratislava
103,Jaroslav Paška,Jaroslav,Paška,male,slovenská,Bratislava
105,Marta Podhradská,Marta,Podhradská,female,slovenská,Bratislava
44,Tomáš Galbavý,Tomáš,Galbavý,male,slovenská,Nitra
14,Irena Belohorská,Irena,Belohorská,female,slovenská,Bratislava
38,Dušan Fedoročko,Dušan,Fedoročko,male,slovenská,Svidník
18,Peter Bohunický,Peter,Bohunický,male,slovenská,Trnava
12,Stanislav Bartoš,Stanislav,Bartoš,male,slovenská,Žilina
139,Milan Topoli,Milan,Topoli,male,slovenská,Trenčín
83,Ján Langoš,Ján,Langoš,male,slovenská,Bratislava
23,Béla Bugár,Béla,Bugár,male,maďarská,Šamorín
66,Jozef Kalman,Jozef,Kalman,male,slovenská,Bratislava
74,Dušan Kovačič,Dušan,Kovačič,male,slovenská,Košice
59,Milan Ištván,Milan,Ištván,male,slovenská,Krupina
17,Július Binder,Július,Binder,male,slovenská,Bratislava
79,Jozef Krumpolec,Jozef,Krumpolec,male,slovenská,Nová Dubnica
106,Igor Presperín,Igor,Presperín,male,slovenská,Banská Bystrica
70,Melánia Kolláriková,Melánia,Kolláriková,female,slovenská,Piešťany
53,László Hóka,László,Hóka,male,maďarská,Strekov
26,Ján Cuper,Ján,Cuper,male,slovenská,Bratislava
68,Oľga Keltošová,Oľga,Keltošová,female,slovenská,Bratislava
152,Katarina Čižmáriková,Katarina,Čižmáriková,female,slovenská,Košice
95,Ľudmila Mušková,Ľudmila,Mušková,female,slovenská,Kysucké Nové Mesto
94,Peter Muránsky,Peter,Muránsky,male,slovenská,Nemce
131,Štefan Šlachta,Štefan,Šlachta,male,slovenská,Bratislava
60,Alexej Ivanko,Alexej,Ivanko,male,slovenská,Michalovce
11,Gyula Bárdos,Gyula,Bárdos,male,maďarská,Senec
