id,start_date,motion:text,motion:result,motion:requirement
27957,2002-02-06T14:50:00,Vládní návrh zákona o platebním styku - EU,pass,simple majority
27958,2002-02-06T14:52:00,Vl. zák. v souvisl. s přijetím zákona o platební,pass,simple majority
27959,2002-02-06T14:53:00,Vl. zák. v souvisl. s přijetím zákona o platební,pass,simple majority
27960,2002-02-06T14:53:00,Vl. zák. v souvisl. s přijetím zákona o platební,pass,simple majority
27961,2002-02-06T15:09:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27962,2002-02-06T15:09:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27963,2002-02-06T15:10:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27964,2002-02-06T15:11:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27965,2002-02-06T15:12:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27966,2002-02-06T15:13:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27967,2002-02-06T15:14:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27968,2002-02-06T15:14:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27969,2002-02-06T15:15:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27970,2002-02-06T15:16:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27971,2002-02-06T15:16:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27972,2002-02-06T15:17:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27973,2002-02-06T15:18:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27974,2002-02-06T15:18:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27975,2002-02-06T15:19:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27976,2002-02-06T15:20:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27977,2002-02-06T15:20:00,Vládní návrh zákona o zbraních - EU,fail,simple majority
27978,2002-02-06T15:21:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27979,2002-02-06T15:22:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27980,2002-02-06T15:23:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27981,2002-02-06T15:23:00,Vládní návrh zákona o zbraních - EU,pass,simple majority
27982,2002-02-06T15:27:00,Řešení situace v letecké záchranné službě,fail,simple majority
27983,2002-02-06T15:28:00,Řešení situace v letecké záchranné službě,fail,simple majority
27984,2002-02-06T15:28:00,Řešení situace v letecké záchranné službě,pass,simple majority
27985,2002-02-06T15:29:00,Řešení situace v letecké záchranné službě,fail,simple majority
27986,2002-02-06T15:32:00,Řešení situace v letecké záchranné službě,fail,simple majority
27987,2002-02-06T15:32:00,Řešení situace v letecké záchranné službě,pass,simple majority
27988,2002-02-06T15:34:00,Řešení situace v letecké záchranné službě,fail,simple majority
27989,2002-02-06T15:35:00,Řešení situace v letecké záchranné službě,fail,simple majority
27990,2002-02-06T15:41:00,Řešení situace v letecké záchranné službě,fail,simple majority
27991,2002-02-06T15:42:00,Řešení situace v letecké záchranné službě,fail,simple majority
27992,2002-02-06T15:43:00,Řešení situace v letecké záchranné službě,pass,simple majority
27993,2002-02-06T15:45:00,Řešení situace v letecké záchranné službě,pass,simple majority
27994,2002-02-06T15:51:00,,pass,simple majority
27995,2002-02-06T15:55:00,,pass,simple majority
27996,2002-02-06T16:07:00,Vládní návrh zákona o platech představitelů stát,pass,simple majority
27997,2002-02-06T16:24:00,Návrh novela zákona o vodovodech a kanalizacích,pass,simple majority
27998,2002-02-06T17:00:00,,fail,simple majority
27999,2002-02-06T17:02:00,Návrh novely vodního zákona,fail,simple majority
28000,2002-02-06T17:04:00,Návrh novely vodního zákona,pass,simple majority
28001,2002-02-06T17:32:00,Návrh novely zákona o důchodovém pojištění,fail,simple majority
28002,2002-02-06T17:33:00,Návrh novely zákona o důchodovém pojištění,pass,simple majority
28003,2002-02-06T17:34:00,Návrh novely zákona o důchodovém pojištění,fail,simple majority
28004,2002-02-06T17:35:00,Návrh novely zákona o důchodovém pojištění,pass,simple majority
28005,2002-02-07T09:17:00,odpovědi na pís.interpel.,fail,simple majority
28006,2002-02-07T09:18:00,odpovědi na pís.interpel.,fail,simple majority
28007,2002-02-07T09:45:00,odpovědi na pís.interpel.,fail,simple majority
28008,2002-02-07T10:07:00,odpovědi na pís.interpel.,pass,simple majority
28009,2002-02-07T10:51:00,odpovědi na pís.interpel.,fail,simple majority
28010,2002-02-07T11:23:00,odpovědi na pís.interpel.,fail,simple majority
28011,2002-02-07T11:25:00,Návrh zákona o zadávaní veřejných zakázek,fail,simple majority
28012,2002-02-07T11:26:00,Návrh zákona o zadávaní veřejných zakázek,pass,simple majority
28013,2002-02-07T11:27:00,Návrh zákona o zadávaní veřejných zakázek,fail,simple majority
28014,2002-02-07T11:27:00,Návrh zákona o zadávaní veřejných zakázek,fail,simple majority
28015,2002-02-07T11:37:00,Návrh zákona o rozpočtových pravidlech,pass,simple majority
28016,2002-02-07T13:32:00,Vládní návrh ústavního zákona o referendu,pass,simple majority
28017,2002-02-07T13:32:00,Vládní návrh ústavního zákona o referendu,fail,simple majority
28018,2002-02-07T13:34:00,Vládní návrh ústavního zákona o referendu,pass,two-thirds representatives majority
28019,2002-02-07T13:36:00,,pass,simple majority
28020,2002-02-07T14:02:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28021,2002-02-07T14:02:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28022,2002-02-07T14:03:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28023,2002-02-07T14:04:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28024,2002-02-07T14:04:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28025,2002-02-07T14:05:00,Vládní návrh zákona o bankách - EU,fail,simple majority
28026,2002-02-07T14:06:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28027,2002-02-07T14:07:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28028,2002-02-07T14:07:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28029,2002-02-07T14:08:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28030,2002-02-07T14:09:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28031,2002-02-07T14:10:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28032,2002-02-07T14:10:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28033,2002-02-07T14:11:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28034,2002-02-07T14:12:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28035,2002-02-07T14:12:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28036,2002-02-07T14:13:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28037,2002-02-07T14:13:00,Vládní návrh zákona o bankách - EU,fail,simple majority
28038,2002-02-07T14:14:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28039,2002-02-07T14:15:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28040,2002-02-07T14:15:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28041,2002-02-07T14:16:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28042,2002-02-07T14:17:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28043,2002-02-07T14:19:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28044,2002-02-07T14:19:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28045,2002-02-07T14:20:00,Vládní návrh zákona o bankách - EU,fail,simple majority
28046,2002-02-07T14:20:00,Vládní návrh zákona o bankách - EU,fail,simple majority
28047,2002-02-07T14:21:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28048,2002-02-07T14:22:00,Vládní návrh zákona o bankách - EU,fail,simple majority
28049,2002-02-07T14:23:00,Vládní návrh zákona o bankách - EU,pass,simple majority
28050,2002-02-07T14:36:00,,fail,simple majority
28051,2002-02-07T14:40:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28052,2002-02-07T14:41:00,Návrh zák. o odškodnění osob odvlečených do SSSR,fail,simple majority
28053,2002-02-07T14:42:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28054,2002-02-07T14:43:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28055,2002-02-07T14:44:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28056,2002-02-07T14:45:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28057,2002-02-07T14:46:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28058,2002-02-07T14:47:00,Návrh zák. o odškodnění osob odvlečených do SSSR,pass,simple majority
28059,2002-02-07T14:57:00,Návrh zák. o přechodném financování dávek horník,fail,simple majority
28060,2002-02-07T14:58:00,Návrh zák. o přechodném financování dávek horník,fail,simple majority
28061,2002-02-07T15:00:00,Návrh zák. o přechodném financování dávek horník,pass,simple majority
28062,2002-02-07T15:01:00,Návrh zák. o přechodném financování dávek horník,fail,simple majority
28063,2002-02-07T15:03:00,Návrh zák. o přechodném financování dávek horník,pass,simple majority
28064,2002-02-07T15:07:00,Návrh zák. o pozem. úpravách a pozem. úřadech,pass,simple majority
28065,2002-02-07T15:09:00,Návrh zák. o pozem. úpravách a pozem. úřadech,pass,simple majority
28066,2002-02-07T15:11:00,Návrh zák. o pozem. úpravách a pozem. úřadech,pass,simple majority
28067,2002-02-07T15:11:00,Návrh zák. o pozem. úpravách a pozem. úřadech,pass,simple majority
28068,2002-02-07T15:12:00,Návrh zák. o pozem. úpravách a pozem. úřadech,pass,simple majority
