id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
18920,2004-03-25,k návrhu na navýšení rozpočtu vlastního hl.m.Prahy v roce 2004 o účelovou investiční a neinvestiční (usnesení),16/03,936,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18920,16,pass,49,0,0,70,49
18921,2004-03-25,"k návrhu obecně závazné vyhlášky, kterou se mění vyhláška č.32/1999 Sb. hl. m. Prahy, o závazné část (usnesení)",16/04,792,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18921,16,pass,41,0,0,70,41
18922,2004-03-25,"k návrhu obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška č. 55/2000 Sb. hl.m. Prahy, (usnesení)",16/05,919,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18922,16,pass,41,0,0,70,41
18923,2004-03-25,"k návrhu úplatného převodu obytného domu č.p. 227, ul. Dražkovská 1, Praha 9 - Vinoř současným (usnesení)",16/06,828,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18923,16,fail,35,0,10,70,45
18924,2004-03-25,"k návrhu úplatného převodu obytného domu č.p. 227, ul. Dražkovská 1, Praha 9 - Vinoř současným (usnesení)",16/06,828,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18924,16,pass,43,2,8,70,53
18925,2004-03-25,"k návrhu na úplatný převod pozemku parc.č. 668/48, 668/49 a 668/50 ( o celkové výměře 438 m2) v k.ú. (usnesení)",16/07,840,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18925,16,pass,45,0,6,70,51
18926,2004-03-25,ke změně zřizovací listiny příspěvkové organizace Dětské centrum  Paprsek (usnesení),16/08,879,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18926,16,pass,54,0,0,70,54
18927,2004-03-25,k návrhu na rozdělení finančních prostředků BESIP na rok 2004 (usnesení),16/09,927,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18927,16,pass,55,0,0,70,55
18928,2004-03-25,k návrhu na navýšení rozpočtu vlastního hl. m. Prahy v roce 2004 o účelovou investiční dotaci ze SFD (usnesení),16/10,930,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18928,16,pass,52,0,0,70,52
18929,2004-03-25,k návrhu na převod pozemku parc.č. 1667/3 v kat. území Strašnice o výměře 40 m2 z vlastnictví hl.m.P (usnesení),16/11,898,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18929,16,pass,40,0,0,70,40
18930,2004-03-25,k návrhu úplatného převodu pozemku parc. č. 54/54 k.ú. Dolní Měcholupy o výměře 2 m2 z vlastnictví (usnesení),16/12,892,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18930,16,pass,48,0,0,70,48
18932,2004-03-25,k návrhu na úplatný převod pozemku parc. č. 1080/54 v k.ú. Stodůlky o výměře 80 m2 z vlastnictví (usnesení),16/13,880,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18932,16,pass,50,0,0,70,50
18933,2004-03-25,"k návrhu na úplatný převod pozemku parc. č. 1385/3, pozemku parc. č. 1385/4 a části pozemku parc. č. (usnesení)",16/14,874,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18933,16,pass,44,1,4,70,49
18934,2004-03-25,k návrhu na schválení úplatného převodu pozemků parc.č. 575/21 a 575/22 v kat. území Prosek z (usnesení),16/15,907,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18934,16,pass,44,1,2,70,47
18935,2004-03-25,k návrhu na úplatný převod pozemků parc.č. 1258/10 o výměře 53 m2 a parc.č. 1259/1 o výměře 258 m2 v (usnesení),16/16,982,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18935,16,pass,48,1,1,70,50
18942,2004-03-25,"k návrhu na schválení úplatného převodu vlastnictví pozemků parc. č. 1672/3 o výměře 74 m2, 1672/2 o (usnesení)",16/17,881,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18942,16,pass,52,0,0,70,52
18943,2004-03-25,k návrhu úplatného převodu části pozemku parc. č. 2359/1 v k. ú. Braník z vlastnictví hl. m. Prahy d (usnesení),16/18,872,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18943,16,pass,54,0,0,70,54
18937,2004-03-25,k návrhu úplatného převodu části pozemku parc. č. 3049/4 v k. ú. Braník z vlastnictví hl. m. Prahy d (usnesení),16/19,925,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18937,16,pass,54,1,0,70,55
18938,2004-03-25,k návrhu úplatného převodu části pozemku parc. č. 2068/3 v k. ú. Košíře z vlastnictví hl. m. Prahy d (usnesení),16/20,873,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18938,16,pass,54,1,2,70,57
18941,2004-03-25,k návrh na úplatný převod části pozemku parc. č. 782/1 o výměře 3m2 v k.ú. Karlín z vlastnictví hl.m (usnesení),16/21,899,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18941,16,pass,54,0,1,70,55
18944,2004-03-25,k návrhu na schválení úplatného převodu části pozemku parc.č. 2342/1 v kat. území Kunratice z (usnesení),16/22,905,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18944,16,pass,52,0,1,70,53
18945,2004-03-25,k návrhu na schválení úplatného převodu pozemku parc.č. 496/114 v kat. území Střížkov z vlastnictví (usnesení),16/23,901,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18945,16,pass,55,0,1,70,56
18946,2004-03-25,k návrhu na schválení úplatného převodu pozemku parc.č. 2342/271 v kat. území Kunratice z vlastnictv (usnesení),16/24,904,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18946,16,pass,56,0,0,70,56
18947,2004-03-25,k návrhu na schválení úplatného převodu pozemku parc.č. 4137/262 v kat. území Modřany z  vlastnictví (usnesení),16/25,902,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18947,16,pass,55,0,1,70,56
18948,2004-03-25,k návrhu úplatného převodu pozemku parc. č. 1285/12 v k. ú. Krč z vlastnictví hl. m. Prahy do vlastn (usnesení),16/26,834,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18948,16,pass,56,0,0,70,56
