id,name,country_code,country,political_group,party
96922,Izaskun BILBAO BARANDICA,es,Spain,Group of the Alliance of Liberals and Democrats for Europe,Partido Nacionalista Vasco
124771,Dominique BILDE,fr,France,Europe of Nations and Freedom Group,Front national
97198,Mara BIZZOTTO,it,Italy,Europe of Nations and Freedom Group,Lega Nord
124992,Malin BJÖRK,se,Sweden,Confederal Group of the European United Left - Nordic Green Left,Vänsterpartiet
125044,José BLANCO LÓPEZ,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96681,Vilija BLINKEVIČIŪTĖ,lt,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija
124712,Andrea BOCSKOR,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
1037,Reimer BÖGE,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
125004,Franc BOGOVIČ,si,Slovenia,Group of the European People's Party (Christian Democrats),Slovenska ljudska stranka
124814,Simona BONAFÈ,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124896,Michał BONI,pl,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
21817,Mario BORGHEZIO,it,Italy,Europe of Nations and Freedom Group,Lega Nord
124796,David BORRELLI,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
112748,Biljana BORZAN,hr,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske
39711,Victor BOŞTINARU,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
124964,Louise BOURS,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
124753,Marie-Christine BOUTONNET,fr,France,Europe of Nations and Freedom Group,Front national
96744,José BOVÉ,fr,France,Group of the Greens/European Free Alliance,Europe Écologie
124984,Lynn BOYLAN,ie,Ireland,Confederal Group of the European United Left - Nordic Green Left,Sinn Féin
124954,Paul BRANNEN,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
28346,Mercedes BRESSO,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124787,Renata BRIANO,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124757,Steeve BRIOIS,fr,France,Europe of Nations and Freedom Group,Front national
1263,Elmar BROK,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124818,Klaus BUCHNER,de,Germany,Group of the Greens/European Free Alliance,Ökologisch-Demokratische Partei
125012,Daniel BUDA,ro,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
4267,Udo BULLMANN,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
124869,Gianluca BUONANNO,it,Italy,Europe of Nations and Freedom Group,Lega Nord
38420,Cristian-Silviu BUŞOI,ro,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
96739,Reinhard BÜTIKOFER,de,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
28269,Jerzy BUZEK,pl,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
125041,Soledad CABEZÓN RUIZ,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96849,Alain CADEC,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
129407,Enrique CALVET CHAMBON,es,Spain,Group of the Alliance of Liberals and Democrats for Europe,Independiente
96754,Wim van de CAMP,nl,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl
96912,David CAMPBELL BANNERMAN,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
124851,Nicola CAPUTO,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124986,Matt CARTHY,ie,Ireland,Confederal Group of the European United Left - Nordic Green Left,Sinn Féin
124971,James CARVER,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
28122,David CASA,mt,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista
28219,Daniel CASPARY,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124812,Fabio Massimo CASTALDO,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
28390,Pilar del CASTILLO VERA,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
28206,Jean-Marie CAVADA,fr,France,Group of the Alliance of Liberals and Democrats for Europe,Génération Citoyens
28451,Lorenzo CESA,it,Italy,Group of the European People's Party (Christian Democrats),Nuovo Centrodestra - Unione di Centro
124708,Dita CHARANZOVÁ,cz,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,ANO 2011
124752,Aymeric CHAUPRADE,fr,France,Non-attached Members,Les Français Libres
96603,Nessa CHILDERS,ie,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent
124861,Caterina CHINNICI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
26851,Nikolaos CHOUNTIS,el,Greece,Confederal Group of the European United Left - Nordic Green Left,Popular Unity
28154,Ole CHRISTENSEN,dk,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet
26837,Lefteris CHRISTOFOROU,cy,Cyprus,Group of the European People's Party (Christian Democrats),Democratic Rally
125061,Kostas CHRYSOGONOS,el,Greece,Confederal Group of the European United Left - Nordic Green Left,Coalition of the Radical Left
124854,Salvatore CICU,it,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
124772,Alberto CIRIO,it,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
124988,Deirdre CLUNE,ie,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party
124967,David COBURN,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
1892,Carlos COELHO,pt,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
96915,Sergio Gaetano COFFERATI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,-
112788,Birgit COLLIN-LANGEN,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124955,Jane COLLINS,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
96775,Lara COMI,it,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
124968,Therese COMODINI CACHIA,mt,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista
96674,Anna Maria CORAZZA BILDT,se,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna
2309,Richard CORBETT,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
124856,Ignazio CORRAO,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
96917,Silvia COSTA,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
125997,Javier COUSO PERMUY,es,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Unida
96880,Andrea COZZOLINO,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
28238,Michael CRAMER,de,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
40224,Andi CRISTEA,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
2109,Brian CROWLEY,ie,Ireland,European Conservatives and Reformists Group,Fianna Fáil Party
124930,Pál CSÁKY,sk,Slovakia,Group of the European People's Party (Christian Democrats),Strana mad'arskej komunity- Magyar Közösség Pártja
28372,Ryszard CZARNECKI,pl,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
132925,Edward CZESAK,pl,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
96809,Peter van DALEN,nl,Netherlands,European Conservatives and Reformists Group,ChristenUnie
124970,Miriam DALLI,mt,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista
35135,Daniel DALTON,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
124835,Rosa D'AMATO,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
124952,Seb DANCE,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
95281,Viorica DĂNCILĂ,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
96747,Arnaud DANJEAN,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
124821,Nicola DANTI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
97296,Michel DANTIN,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
96958,William (The Earl of) DARTMOUTH,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
72775,Rachida DATI,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
109337,Philippe DE BACKER,be,Belgium,Group of the Alliance of Liberals and Democrats for Europe,Open Vlaamse Liberalen en Democraten
96891,Paolo DE CASTRO,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124732,Angélique DELAHAYE,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
124714,Andor DELI,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
96868,Karima DELLI,fr,France,Group of the Greens/European Free Alliance,Europe Écologie
124776,Mady DELVAUX,lu,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti ouvrier socialiste luxembourgeois
124858,Fabio DE MASI,de,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.
117477,Mark DEMESMAEKER,be,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie
124803,Isabella DE MONTE,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
94282,Jean-Paul DENANOT,fr,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
1473,Gérard DEPREZ,be,Belgium,Group of the Alliance of Liberals and Democrats for Europe,Mouvement Réformateur
4335,Marielle de SARNEZ,fr,France,Group of the Alliance of Liberals and Democrats for Europe,Mouvement Démocrate
28228,Albert DESS,de,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
96826,Tamás DEUTSCH,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
4556,Nirj DEVA,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
124805,Mircea DIACONU,ro,Romania,Group of the Alliance of Liberals and Democrats for Europe,Independent
28397,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
124709,Martina DLABAJOVÁ,cz,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,ANO 2011
124969,Anneliese DODDS,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
96951,Diane DODDS,uk,United Kingdom,Non-attached Members,Democratic Unionist Party
124878,Jørn DOHRMANN,dk,Denmark,European Conservatives and Reformists Group,Dansk Folkeparti
96787,Herbert DORFMANN,it,Italy,Group of the European People's Party (Christian Democrats),Südtiroler Volkspartei (Partito popolare sudtirolese)
124750,Mireille D'ORNANO,fr,France,Europe of Nations and Freedom Group,Front national
124786,Damian DRĂGHICI,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Uniunea Națională pentru Progresul României
124960,Ian DUNCAN,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
124693,Pascal DURAND,fr,France,Group of the Greens/European Free Alliance,Europe Écologie
124873,Angel DZHAMBAZKI,bg,Bulgaria,European Conservatives and Reformists Group,VMRO
124863,Stefan ECK,de,Germany,Confederal Group of the European United Left - Nordic Green Left,Independent
28226,Christian EHLER,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96725,Bas EICKHOUT,nl,Netherlands,Group of the Greens/European Free Alliance,GroenLinks
96876,Frank ENGEL,lu,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois
128588,Linnéa ENGSTRÖM,se,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
125071,Georgios EPITIDEIOS,el,Greece,Non-attached Members,Popular Association – Golden Dawn
124711,Norbert ERDŐS,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
124937,Peter ERIKSSON,se,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
96852,Cornelia ERNST,de,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.
96842,Ismail ERTUG,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
96811,Rosa ESTARÀS FERRAGUT,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
124951,Bill ETHERIDGE,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
4550,Jill EVANS,uk,United Kingdom,Group of the Greens/European Free Alliance,Plaid Cymru - Party of Wales
124779,Eleonora EVI,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
96911,Tanja FAJON,si,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialni demokrati
4525,Nigel FARAGE,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
125101,José Inácio FARIA,pt,Portugal,Group of the Alliance of Liberals and Democrats for Europe,Partido da Terra
124989,Fredrick FEDERLEY,se,Sweden,Group of the Alliance of Liberals and Democrats for Europe,Centerpartiet
1917,Markus FERBER,de,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
96899,José Manuel FERNANDES,pt,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
125046,Jonás FERNÁNDEZ,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
124767,Edouard FERRAND,fr,France,Europe of Nations and Freedom Group,Front national
124833,Laura FERRARA,it,Italy,Europe of Freedom and Direct Democracy Group,Movimento 5 Stelle
28308,Elisa FERREIRA,pt,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
96706,João FERREIRA,pt,Portugal,Confederal Group of the European United Left - Nordic Green Left,Partido Comunista Português
124941,Raymond FINCH,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
96729,Santiago FISAS AYXELÀ,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
4465,Raffaele FITTO,it,Italy,European Conservatives and Reformists Group,Conservatori e Riformisti
28126,Christofer FJELLNER,se,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna
124985,Luke Ming FLANAGAN,ie,Ireland,Confederal Group of the European United Left - Nordic Green Left,Independent
23868,Monika FLAŠÍKOVÁ BEŇOVÁ,sk,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,SMER-Sociálna demokracia
96840,Knut FLECKENSTEIN,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
1038,Karl-Heinz FLORENZ,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96993,Lorenzo FONTANA,it,Italy,Europe of Nations and Freedom Group,Lega Nord
96949,Vicky FORD,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
125193,Eleonora FORENZA,it,Italy,Confederal Group of the European United Left - Nordic Green Left,Lista Tsipras-L'Altra Europa
4553,Jacqueline FOSTER,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
28353,Anna Elżbieta FOTYGA,pl,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
125070,Lampros FOUNTOULIS,el,Greece,Non-attached Members,Popular Association – Golden Dawn
96957,Ashley FOX,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
125018,Eugen FREUND,at,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs
124790,Doru-Claudian FRUNZULICĂ,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Uniunea Națională pentru Progresul României
96848,Mariya GABRIEL,bg,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
2341,Michael GAHLER,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
28150,Kinga GÁL,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
102886,Ildikó GÁLL-PELCZ,hu,Hungary,Group of the European People's Party (Christian Democrats),Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
125006,Francesc GAMBÚS,es,Spain,Group of the European People's Party (Christian Democrats),Unió Democràtica de Catalunya
28298,Iratxe GARCÍA PÉREZ,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96991,Eider GARDIAZABAL RUBIAL,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
58758,Elisabetta GARDINI,it,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
124817,Enrico GASBARRA,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
1913,Evelyne GEBHARDT,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
96833,Jens GEIER,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
124847,Elena GENTILE,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
96940,Gerben-Jan GERBRANDY,nl,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,Democraten 66
124815,Arne GERICKE,de,Germany,European Conservatives and Reformists Group,Familien-Partei Deutschlands
28377,Lidia Joanna GERINGER de OEDENBERG,pl,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bezpartyjna
96730,Sven GIEGOLD,de,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
28379,Adam GIEREK,pl,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Unia Pracy
124807,Jens GIESEKE,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124965,Nathan GILL,uk,United Kingdom,Europe of Freedom and Direct Democracy Group,United Kingdom Independence Party
4533,Neena GILL,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
135491,María Teresa GIMÉNEZ BARBAT,es,Spain,Group of the Alliance of Liberals and Democrats for Europe,"Unión, Progreso y Democracia"
96956,Julie GIRLING,uk,United Kingdom,European Conservatives and Reformists Group,Conservative Party
124864,Michela GIUFFRIDA,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
21331,Sylvie GODDYN,fr,France,Europe of Nations and Freedom Group,Front national
840,Charles GOERENS,lu,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,Parti démocratique
1164,Bruno GOLLNISCH,fr,France,Non-attached Members,Front national
28306,Ana GOMES,pt,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
127330,Tania GONZÁLEZ PEÑAS,es,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS
125027,Esteban GONZÁLEZ PONS,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
124900,Beata GOSIEWSKA,pl,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
97137,Sylvie GOULARD,fr,France,Group of the Alliance of Liberals and Democrats for Europe,Mouvement Démocrate
125025,Marcel de GRAAFF,nl,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid
125112,Giorgos GRAMMATIKAKIS,el,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,The River
28393,Luis de GRANDES PASCUAL,es,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
124785,Maria GRAPINI,ro,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Puterii Umaniste
28220,Ingeborg GRÄSSLE,de,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
133316,Karoline GRASWANDER-HAINZ,at,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs
28208,Nathalie GRIESBECK,fr,France,Group of the Alliance of Liberals and Democrats for Europe,Mouvement Démocrate
124961,Theresa GRIFFIN,uk,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Labour Party
124745,Iveta GRIGULE,lv,Latvia,Group of the Alliance of Liberals and Democrats for Europe,Zaļo un Zemnieku savienība
34728,Matthias GROOTE,de,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
2025,Françoise GROSSETÊTE,fr,France,Group of the European People's Party (Christian Democrats),Les Républicains
23785,Andrzej GRZYB,pl,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe
96892,Roberto GUALTIERI,it,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
96768,Enrique GUERRERO SALOM,es,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96952,Sylvie GUILLAUME,fr,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
