id,name,group_id,election_type,state,district,cabecera,curul
60-342,Carrasco Altamirano Diódoro Humberto,pan,Representación proporcional,Oaxaca,3,,D-089
60-868,Beristáin  Enríquez Lucía,pan,Representación proporcional,México,5,,A-001
60-719,Rubín Dávila Martha Angélica,pan,Mayoría Relativa,Puebla,11,,F-175
60-808,Galván Valles Rosa Elena,pan,Representación proporcional,Durango,1,,H-247
60-717,Gómez Barrales Ernesto Javier,pan,Mayoría Relativa,Puebla,9,,I-300
60-866,Martínez Bernal Blanca Margarita,pan,Representación proporcional,México,5,,J-332
60-863,Rivera Villanueva Erick Marte,pan,Representación proporcional,Hidalgo,5,,A-507
60-266,Collado Lara Beatriz,pan,Mayoría Relativa,Tamaulipas,7,Ciudad Madero,G-213
60-267,Mejía García Luis Alonso,pan,Mayoría Relativa,Tamaulipas,8,Tampico,B-035
60-264,González Salum Miguel Ángel,pri,Mayoría Relativa,Tamaulipas,5,Victoria,M-494
60-265,Cárdenas Del Avellano Enrique,pri,Mayoría Relativa,Tamaulipas,6,El Mante,M-492
60-262,López Reyna Omeheira,pan,Mayoría Relativa,Tamaulipas,3,Río Bravo,D-085
60-263,García González Carlos Alberto,pan,Mayoría Relativa,Tamaulipas,4,Matamoros,K-388
60-260,Garza Garza Horacio Emigdio,pri,Mayoría Relativa,Tamaulipas,1,Nuevo Laredo,M-495
60-261,García Vivián Raúl,pan,Mayoría Relativa,Tamaulipas,2,Reynosa,E-122
60-663,Escamilla González Raymundo,prd,Mayoría Relativa,México,38,,D-111
60-430,Castillo Romero Patricia Obdulia de Jesús,conv,Representación proporcional,Nayarit,1,,E-142
60-268,Aguilar López José Alejandro,pan,Mayoría Relativa,Tlaxcala,1,Apizaco,K-376
60-665,García González Gloria,pan,Mayoría Relativa,México,40,,A-003
60-454,Zavaleta Salgado Ruth,prd,Representación proporcional,Distrito Federal,4,,P-505
60-309,Alcaraz Hernández Alma Edwviges,pan,Representación proporcional,Sinaloa,1,,F-164
60-308,Castro Muñoz Juan de Dios,pan,Representación proporcional,Durango,1,,H-247
60-305,Limas Frescas María Soledad,pan,Representación proporcional,Chihuahua,1,,I-292
60-206,Cuevas Córdova Othón,prd,Mayoría Relativa,Oaxaca,9,Santa Lucia del Camino,G-236
60-307,Rodríguez Jiménez Ricardo,pan,Representación proporcional,Jalisco,1,,M-468
60-306,Figueroa Ortega David,pan,Representación proporcional,Sonora,1,,H-253
60-301,Padilla Orozco Raúl Alejandro,pan,Representación proporcional,Jalisco,1,,E-129
60-290,Barradas Miravete Gregorio,pan,Mayoría Relativa,Veracruz,20,Acayucan,I-288
60-233,Leura González Agustín,pan,Mayoría Relativa,San Luis Potosí,2,Soledad de Graciano Sánchez,E-139
60-302,Larios Córdova Héctor,pan,Representación proporcional,Sonora,1,,D-088
60-591,Peña Damacio Efraín,prd,Mayoría Relativa,Guerrero,1,Pungarabato,H-278
60-593,Catarino Crispín Secundino,prd,Mayoría Relativa,Guerrero,3,José Azueta,G-234
60-597,Klimek Alcaráz Octavio Adolfo,prd,Mayoría Relativa,Guerrero,7,Chilpancingo de los Bravo,H-276
60-169,Díaz Garibay Felipe,pan,Mayoría Relativa,Michoacán,4,Jiquilpan,F-173
60-168,Vallejo Estevez Mario,prd,Mayoría Relativa,Michoacán,3,Zitácuaro,J-363
60-394,Badillo Martínez Roberto,pri,Representación proporcional,Veracruz,3,,J-346
60-603,Rivero Acosta Miguel,pri,Mayoría Relativa,Hidalgo,4,,H-266
60-604,Narvaez Bravo Hilda Areli,pri,Mayoría Relativa,Hidalgo,5,,H-265
60-605,Del Villar Sosa Sonia Leslie,pan,Mayoría Relativa,Hidalgo,6,,I-301
60-607,Carrillo Sandoval Fortino,pan,Mayoría Relativa,Jalisco,1,,K-380
60-161,Villa Villa Isael,pri,Mayoría Relativa,México,36,Tejupilco,M-486
60-160,Olivares Monterrubio Alejandro,pri,Mayoría Relativa,México,35,Tenancingo,M-489
60-163,Arreola Calderón Juan Dario,prd,Mayoría Relativa,México,38,Texcoco,D-111
60-162,Santos Arreola Francisco Javier,prd,Mayoría Relativa,México,37,Cuautitlán,F-193
60-165,Victoria Alva Juan,pan,Mayoría Relativa,México,40,Zinacantepec,A-003
60-164,San Martín Hernández Juan Manuel,prd,Mayoría Relativa,México,39,La Paz,F-192
60-167,Villicaña García Rafael,prd,Mayoría Relativa,Michoacán,2,Puruándiro,J-364
60-166,Soto Sánchez Antonio,prd,Mayoría Relativa,Michoacán,1,Lázaro Cárdenas,I-317
60-509,Cardona Benavidez Alma Xóchil,pan,Mayoría Relativa,Baja California,6,,I-297
60-118,Moreno Álvarez Mario Eduardo,pan,Mayoría Relativa,Jalisco,12,Tlajomulco de Zúñiga,F-166
60-119,Solano Muñoz José de Jesús,pan,Mayoría Relativa,Jalisco,13,Guadalajara,M-459
60-303,Morgan Franco Rocío del Carmen,pan,Representación proporcional,Jalisco,1,,C-057
60-114,Monraz Ibarra Miguel Ángel,pan,Mayoría Relativa,Jalisco,8,Guadalajara,K-379
60-115,Montes Sánchez Fabián Fernando,pan,Mayoría Relativa,Jalisco,9,Guadalajara,H-249
60-116,Borboa Becerra Omar Antonio,pan,Mayoría Relativa,Jalisco,10,Zapopan,I-302
60-500,Conde Rodríguez Elsa de Guadalupe,psd,Representación proporcional,México,5,,A-014
60-110,Quintero Bello Jorge,pan,Mayoría Relativa,Jalisco,4,Zapopan,G-212
60-111,Curiel Preciado Leobardo,pan,Mayoría Relativa,Jalisco,5,Puerto Vallarta,G-209
60-112,Arellano Arellano Joel,pan,Mayoría Relativa,Jalisco,6,Zapopan,M-464
60-704,Gurrión Matías Daniel,pri,Mayoría Relativa,Oaxaca,7,,L-435
60-217,Lagunes Viveros Violeta del Pilar,pan,Mayoría Relativa,Puebla,9,Puebla,I-300
60-216,Vasconcelos Rueda Antonio,pan,Mayoría Relativa,Puebla,8,Chalchicomula de Sesma,G-205
60-699,Virgen Carrera Víctor Manuel,pri,Mayoría Relativa,Oaxaca,2,,L-436
60-214,Flores Grande Arturo,pan,Mayoría Relativa,Puebla,6,Puebla,L-430
60-213,Méndez Meneses Apolonio,pan,Mayoría Relativa,Puebla,5,San Martín Texmelucán,D-093
60-231,Garmendia Hernández Yolanda Mercedes,pan,Mayoría Relativa,Quintana Roo,3,Benito Juárez,F-172
60-211,Fuentes Ortíz José Guillermo,pan,Mayoría Relativa,Puebla,3,Tezihutlán,K-384
60-210,Jiménez Ramos María Esther,pan,Mayoría Relativa,Puebla,2,Zacatlán,F-161
60-219,Bello Pérez Alfonso Othón,pan,Mayoría Relativa,Puebla,11,Puebla,F-175
60-218,Parra Jiménez Dolores Ma. del Carmen,pan,Mayoría Relativa,Puebla,10,San Pedro Cholula,E-128
60-446,Aragón Castillo Irene,prd,Representación proporcional,Veracruz,3,,F-198
60-447,Escandón Cadenas Rutilio Cruz,prd,Representación proporcional,Chiapas,3,,C-071
60-444,Pulido Santiago Celso David,prd,Representación proporcional,Veracruz,3,,F-201
60-445,Esteva Salinas Alberto,conv,Representación proporcional,Oaxaca,3,,E-140
60-442,Sansores San Román Layda Elena,conv,Representación proporcional,Campeche,3,,D-104
60-443,Matus Toledo Holly,prd,Representación proporcional,Chiapas,3,,C-073
60-440,Mendoza Flores Roberto,prd,Representación proporcional,Tabasco,3,,C-077
60-441,Peregrino García Abundio,pt,Representación proporcional,Chiapas,3,,B-049
60-840,Guerra Sánchez María de Jesús,pan,Representación proporcional,Campeche,3,,M-462
60-841,Mora Cuevas Marisol,pan,Representación proporcional,Veracruz,3,,C-056
60-919,Cerrillo Garnica José Luis,pri,Representación proporcional,México,5,,L-434
60-448,Maciel Ortiz Ma. Mercedes,pt,Representación proporcional,Oaxaca,3,,E-159
60-449,Salvatori Bronca María del Carmen,conv,Representación proporcional,Veracruz,3,,D-101
60-288,Montalvo Gómez Pedro,pri,Mayoría Relativa,Veracruz,18,Zongolica,I-310
60-289,Domínguez Domínguez Nemesio,pri,Mayoría Relativa,Veracruz,19,San Andrés Tuxtla,G-223
60-197,Parás González Juan Manuel,pri,Mayoría Relativa,Nuevo León,12,Cadereyta Jiménez,M-478
60-768,Salazar Anaya María Guadalupe,pan,Mayoría Relativa,Tlaxcala,1,,K-376
60-284,Uscanga Cruz Robinson,conv,Mayoría Relativa,Veracruz,14,Minatitlan,B-038
60-285,Lagunes Gallina Gerardo,pri,Mayoría Relativa,Veracruz,15,Orizaba,I-311
60-286,Duck Núñez Edgar Mauricio,pan,Mayoría Relativa,Veracruz,16,Córdoba,F-168
60-287,Castro De la Rosa Osiel,pan,Mayoría Relativa,Veracruz,17,Cosamaloapan,B-025
60-280,Morales García Elizabeth,pri,Mayoría Relativa,Veracruz,10,Xalapa,F-185
60-281,Rasgado Corsi Gloria,prd,Mayoría Relativa,Veracruz,11,Coatzacoalcos,F-202
60-282,Gutiérrez Lagunes María Victoria,pan,Mayoría Relativa,Veracruz,12,Veracruz,E-133
60-283,Mollinedo Hernández Agustín,pan,Mayoría Relativa,Veracruz,13,Huatusco,C-059
60-774,Morales Utrera Mercedes,pan,Mayoría Relativa,Veracruz,4,,E-121
60-369,Ayala Almeida Joel,pri,Representación proporcional,Baja California,1,,L-439
60-368,Gómez Leyva Silvio,pan,Representación proporcional,México,5,,A-001
60-300,Calzada Vázquez Francisco Javier,prd,Mayoría Relativa,Zacatecas,4,Guadalupe,H-281
60-363,Peyrot Solís Marco Antonio,pan,Representación proporcional,Hidalgo,5,,A-507
60-362,Sánchez Domínguez Alejandro,pan,Representación proporcional,México,5,,L-420
60-361,Rojas Hernández Laura Angélica,pan,Representación proporcional,México,5,,E-137
60-360,Morelos Borja María Esperanza,pan,Representación proporcional,Michoacán,5,,J-510
60-367,Torres Herrera Víctor Manuel,pan,Representación proporcional,Colima,5,,J-333
60-366,Parra Noriega Luis Gustavo,pan,Representación proporcional,México,5,,J-332
60-365,Berber Martínez Antonio,pan,Representación proporcional,Michoacán,5,,J-340
60-364,Tamayo Herrera Yadhira Yvette,pan,Representación proporcional,Michoacán,5,,I-287
60-819,Montiel Luis Lariza,pan,Representación proporcional,Coahuila,2,,B-508
60-339,Medina Rodríguez Lizbeth,pan,Representación proporcional,Yucatán,3,,F-177
60-913,Cerezo Torres Roberto Efrén,pri,Representación proporcional,Distrito Federal,4,,J-352
60-69,Villanueva Albarrán Gerardo,prd,Mayoría Relativa,Distrito Federal,24,Coyoacán,M-500
60-68,Pedrozo Castillo Adrián,prd,Mayoría Relativa,Distrito Federal,23,Coyoacán,L-454
60-929,Reynoso Esparza Julián Ezequiel,pt,Representación proporcional,Sinaloa,1,,D-116
60-924,Portilla Diéguez Manuel,pvem,Representación proporcional,México,5,,H-260
60-915,Bravo Martínez Esveida,pvem,Representación proporcional,Morelos,4,,H-263
60-539,Cárdenas de la Torre Miriam Gabriela,pan,Mayoría Relativa,Chihuahua,3,,F-176
60-402,Escalante Jasso Aracely,pri,Representación proporcional,Campeche,3,,J-359
60-403,Aldana Prieto Luis Ricardo,pri,Representación proporcional,Veracruz,3,,I-309
60-400,Cobo Terrazas Diego,pvem,Representación proporcional,Veracruz,3,,H-262
60-401,Rojas Gutiérrez Carlos,pri,Representación proporcional,Yucatán,3,,I-312
60-406,Izquierdo Bustamante Alfonso Rolando,pri,Representación proporcional,Tabasco,3,,G-227
60-407,Pérez Valdés Daniel,pri,Representación proporcional,Veracruz,3,,G-225
60-404,Ordaz Jiménez Ismael,pri,Representación proporcional,Oaxaca,3,,J-347
60-405,López Adame Antonio Xavier,pvem,Representación proporcional,Oaxaca,3,,F-179
60-408,Palma César Víctor Samuel,pri,Representación proporcional,Morelos,4,,J-353
60-409,Pagés Llergo Rebollar María Beatriz,pri,Representación proporcional,Distrito Federal,4,,L-442
60-173,Chávez García Daniel,pan,Mayoría Relativa,Michoacán,8,Morelia,M-472
60-1273,Melo Velázquez José Francisco,conv,Representación proporcional,Oaxaca,3,,E-140
60-1272,Pérez de Tejada Romero Diana Carolina,pan,Representación proporcional,México,5,,J-510
60-62,Alavez Ruiz Aleida,prd,Mayoría Relativa,Distrito Federal,17,Alvaro Obregón,J-367
60-319,Carbajal Tejada Rogelio,pan,Representación proporcional,Coahuila,2,,C-056
60-587,Rodríguez Preciado Ma. Magdalena,pan,Mayoría Relativa,Guanajuato,11,,M-511
60-67,Varela López Víctor Gabriel,prd,Mayoría Relativa,Distrito Federal,22,Iztapalapa,M-496
60-588,Rodríguez Guevara Carlos,pan,Mayoría Relativa,Guanajuato,12,,G-206
60-66,Sánchez Camacho Alejandro,prd,Mayoría Relativa,Distrito Federal,21,Xochimilco,L-455
60-896,Bellizzia Rosique Pascual,pvem,Representación proporcional,Tabasco,3,,G-220
60-616,Gutiérez Aguilar Miguel Ángel,pan,Mayoría Relativa,Jalisco,10,,I-302
60-64,Oliva Fragoso Silvia,prd,Mayoría Relativa,Distrito Federal,19,Iztapalapa,K-415
60-474,Leyva Piñón Ana Yurixi,prd,Representación proporcional,México,5,,E-149
60-806,Ramírez Corral Ivette Jacqueline,pan,Representación proporcional,Sonora,1,,H-253
60-179,Román Isidoro Demetrio,pan,Mayoría Relativa,Morelos,2,Jiutepec,A-008
60-769,Malcos Amaro María Ofelia Gloria,pan,Mayoría Relativa,Tlaxcala,2,,B-030
60-109,Muñoz Serrano José Antonio,pan,Mayoría Relativa,Jalisco,3,Tepatitlán de Morelos,C-052
60-108,Romo Jiménez Martha Angélica,pan,Mayoría Relativa,Jalisco,2,Lagos de Moreno,L-417
60-107,Macías Zambrano Gustavo,pan,Mayoría Relativa,Jalisco,1,Tequila,K-380
60-106,Peña Sánchez Miguel Ángel,prd,Mayoría Relativa,Hidalgo,7,Tepeapulco,D-109
60-105,Ludlow Kuri Lorenzo Daniel,pan,Mayoría Relativa,Hidalgo,6,Pachuca de Soto,I-301
60-104,Moctezuma Pereda Fernando,pri,Mayoría Relativa,Hidalgo,5,Tula de Allende,H-265
60-103,Vega Ortíz María Oralia,pri,Mayoría Relativa,Hidalgo,4,Tulancingo de Bravo,H-266
60-102,Hernández Hernández Sergio,prd,Mayoría Relativa,Hidalgo,3,Actopan,D-107
60-101,Ramírez Martínez José Edmundo,pri,Mayoría Relativa,Hidalgo,2,Ixmiquilpán,H-268
60-100,Guerrero Juárez Joel,pri,Mayoría Relativa,Hidalgo,1,Huejutla de Reyes,H-267
60-222,Estefan Chidiac Charbel Jorge,pri,Mayoría Relativa,Puebla,14,Izucar de Matamoros,K-394
60-223,Lezama Aradillas René,pan,Mayoría Relativa,Puebla,15,Tehuacán,G-214
60-220,Sánchez Díaz de Rivera Antonio,pan,Mayoría Relativa,Puebla,12,Puebla,E-130
60-221,Velázquez Gutiérrez José Guillermo,pan,Mayoría Relativa,Puebla,13,Atlixco,G-203
60-226,Domínguez Servién Francisco,pan,Mayoría Relativa,Querétaro,2,San Juan del Río,L-427
60-227,Jiménez del Castillo Ma. de los Ángeles,pan,Mayoría Relativa,Querétaro,3,Querétaro,B-034
60-224,Mendoza Cortés Mario,pri,Mayoría Relativa,Puebla,16,Ajalpan,K-391
60-225,Rubio Chávez José Ignacio Alberto,pan,Mayoría Relativa,Querétaro,1,Cadereyta de Montes,B-029
60-228,Delgado Oscoy Alejandro Enrique,pan,Mayoría Relativa,Querétaro,4,Querétaro,I-293
60-229,Ruiz Chávez Sara Latife,pri,Mayoría Relativa,Quintana Roo,1,Solidaridad,K-390
60-495,Arriola  Mónica,na,Representación proporcional,México,5,,D-100
60-494,Castillo Nájera Ariel,na,Representación proporcional,México,5,,C-066
60-497,Cárdenas Gutiérrez Gustavo Adolfo,pan,Representación proporcional,Tamaulipas,2,,B-028
60-496,Padilla Gutiérrez Héctor,pri,Representación proporcional,Jalisco,1,,F-187
60-491,Piñeyro Arias Irma,na,Representación proporcional,Oaxaca,3,,C-065
60-490,Luna Rodríguez Silvia,na,Representación proporcional,Aguascalientes,2,,C-064
60-493,Luna Becerril Blanca,na,Representación proporcional,Distrito Federal,4,,C-063
60-492,Jiménez Godínez Miguel Ángel,na,Representación proporcional,Distrito Federal,4,,D-099
60-63,Mendoza Arellano David,prd,Mayoría Relativa,Distrito Federal,18,Iztapalapa,K-412
60-810,Villafranca  Aguirre Fernanda Elvira,pan,Representación proporcional,Nayarit,1,,H-256
60-61,Batres Guadarrama Valentina Valia,prd,Mayoría Relativa,Distrito Federal,16,Alvaro Obregón,J-370
60-60,Minjares Jiménez José Manuel,pan,Mayoría Relativa,Distrito Federal,15,Benito Juárez,H-245
60-499,Arvizu Rivas Aida Marina,psd,Representación proporcional,Distrito Federal,4,,A-013
60-498,De la Torre Jaramillo Eduardo Sergio,pan,Representación proporcional,Veracruz,3,,M-471
60-65,Morales Sánchez Efraín,prd,Mayoría Relativa,Distrito Federal,20,Iztapalapa,K-414
60-358,Álvarez Bernal María Elena,pan,Representación proporcional,Michoacán,5,,D-086
60-125,Barajas Del Toro Salvador,pri,Mayoría Relativa,Jalisco,19,Zapotlán El Grande,F-188
60-124,Morales Ramos José Nicolás,pan,Mayoría Relativa,Jalisco,18,Autlán de Navarro,C-058
60-127,Abad De Jesús Juan,conv,Mayoría Relativa,México,2,Teoloyucan,B-039
60-126,Alcántara Núñez Jesús Sergio,pri,Mayoría Relativa,México,1,Jilotepec,M-485
60-121,Amezola Fonceca Gerardo,pan,Mayoría Relativa,Jalisco,15,La Barca,L-426
60-120,Guerrero Torres José Gildardo,pan,Mayoría Relativa,Jalisco,14,Guadalajara,H-248
60-123,Gudiño Ortíz Francisco Javier,pan,Mayoría Relativa,Jalisco,17,Jocotepec,K-377
60-122,Plascencia Alonso Francisco Javier,pan,Mayoría Relativa,Jalisco,16,Tlaquepaque,E-132
60-33,Morales Vázquez Carlos Orsoe,prd,Mayoría Relativa,Chiapas,9,Tuxtla Gutiérrez,C-074
60-942,Ostoa Ortega Aníbal,conv,Representación proporcional,Campeche,3,,D-104
60-129,Acosta Dávila Constantino,pan,Mayoría Relativa,México,4,Nicólas Romero,K-374
60-128,Cárdenas Monroy Oscar Gustavo,pri,Mayoría Relativa,México,3,Atlacomulco,L-443
60-468,Ortiz Magallón Rosario Ignacia,prd,Representación proporcional,Distrito Federal,4,,K-416
60-469,Martínez Hernández Alejandro,prd,Representación proporcional,Tlaxcala,4,,J-366
60-398,Elizondo Garrido Francisco,pvem,Representación proporcional,Veracruz,3,,H-261
60-399,Gamboa Patrón Emilio,pri,Representación proporcional,Yucatán,3,,K-396
60-205,Varela Lagunas José Luis,conv,Mayoría Relativa,Oaxaca,8,Oaxaca de Juárez,D-105
60-460,Pedro Cortés Santiago Gustavo,psd,Representación proporcional,Distrito Federal,4,,A-015
60-461,Velasco Oliva Cuauhtémoc,conv,Representación proporcional,Distrito Federal,4,,C-068
60-462,Tagle Martínez Martha Angélica,conv,Representación proporcional,Distrito Federal,4,,C-067
60-463,Velázquez Aguirre Jesús Evodio,prd,Representación proporcional,Guerrero,4,,H-279
60-464,Castellanos Hernández Félix,conv,Representación proporcional,Guerrero,4,,E-144
60-465,Cruz Santiago Claudia Lilia,prd,Representación proporcional,Distrito Federal,4,,K-405
60-466,Soto Ramos Faustino,prd,Representación proporcional,Distrito Federal,4,,L-458
60-467,Arreola Ortega Pablo Leopoldo,pt,Representación proporcional,Distrito Federal,4,,C-080
60-207,Hernández Silva Benjamín,prd,Mayoría Relativa,Oaxaca,10,Miahuatlán de Porfirio Díaz,G-240
60-673,Carrasco Cárdenas Susana Sarahí,pan,Mayoría Relativa,Michoacán,8,,M-472
60-200,Hernández Gaytán Daisy Selene,prd,Mayoría Relativa,Oaxaca,3,Heroica Ciudad De Huajuapan De León,G-239
60-57,Suárez del Real y Aguilera José Alfonso,prd,Mayoría Relativa,Distrito Federal,12,Cuauhtémoc,I-328
60-338,Rodríguez Prats Juan José,pan,Representación proporcional,Tabasco,3,,D-090
60-910,Ramírez Zollino Andrea Geraldine,pvem,Representación proporcional,Distrito Federal,4,,G-221
60-54,Montalvo Rojas Victorio Rubén,prd,Mayoría Relativa,Distrito Federal,9,Venustiano Carranza,K-413
60-203,Romero Guzmán Rosa Elia,pt,Mayoría Relativa,Oaxaca,6,Heróica Ciudad de Tlaxiaco,D-117
60-886,Sesma Suárez Jesús,pvem,Representación proporcional,Querétaro,2,,G-219
60-884,Puente Salas Carlos Alberto,pvem,Representación proporcional,Zacatecas,2,,I-306
60-630,Pérez Luna Armando,prd,Mayoría Relativa,México,5,,F-191
60-633,González Miranda Facundo,prd,Mayoría Relativa,México,8,,E-153
60-632,Carvajal Adame María del Carmen,pan,Mayoría Relativa,México,7,,E-135
60-635,Flores Martínez Antonio,prd,Mayoría Relativa,México,10,,E-155
60-637,Velázquez Lara Alejandro,prd,Mayoría Relativa,México,12,,E-157
60-96,Matías Alonso Marcos,prd,Mayoría Relativa,Guerrero,6,Chilapa de Alvarez,H-274
60-97,Sánchez Barrios Carlos,prd,Mayoría Relativa,Guerrero,7,Chilpancingo de los Bravo,H-276
60-94,Almonte Borja Ramón,prd,Mayoría Relativa,Guerrero,4,Acapulco de Juárez,G-232
60-59,Chávez García Higinio,prd,Mayoría Relativa,Distrito Federal,14,Tlalpan,J-371
60-92,Brito González Modesto,prd,Mayoría Relativa,Guerrero,2,Iguala de la Independencia,G-233
60-93,Campos Aburto Amador,prd,Mayoría Relativa,Guerrero,3,José Azueta,G-234
60-90,Malagón Ríos Martín,pan,Mayoría Relativa,Guanajuato,14,Acámbaro,K-383
60-91,Torres García Daniel,prd,Mayoría Relativa,Guerrero,1,Pungarabato,H-278
60-644,Guerrero Cárdenas Bulmaro,prd,Mayoría Relativa,México,19,,D-114
60-646,Patiño Sánchez María Eugenia,pan,Mayoría Relativa,México,21,,J-343
60-540,Fuentes Téllez Octavio,pri,Mayoría Relativa,Chihuahua,4,Ciudad Juárez,K-404
60-640,López  Espinosa Patricia Josefina,pan,Mayoría Relativa,México,15,,A-012
60-641,Arenas Sánchez Héctor,prd,Mayoría Relativa,México,16,,E-156
60-98,Romero Gutiérrez Odilón,prd,Mayoría Relativa,Guerrero,8,Ayutla de los Libres,H-275
60-99,Flores Maldonado César,prd,Mayoría Relativa,Guerrero,9,Acapulco de Juárez,H-273
60-248,Navarro Sugich Carlos Alberto,pan,Mayoría Relativa,Sonora,2,Nogales,D-092
60-249,Serrato Castell Luis Gerardo,pan,Mayoría Relativa,Sonora,3,Hermosillo,F-167
60-325,Orozco Ruiz Velazco Marco Heriberto,pan,Representación proporcional,Nuevo León,2,,L-423
60-324,Hurtado Pérez Nelly Asunción,pan,Representación proporcional,Aguascalientes,2,,C-062
60-323,Carbajal Méndez Liliana,pan,Representación proporcional,San Luis Potosí,2,,D-084
60-322,Vázquez Martínez Alberto,pan,Representación proporcional,Querétaro,2,,A-011
60-321,Hernández Núñez Elia,pan,Representación proporcional,Guanajuato,2,,I-286
60-320,Zermeño Infante Jorge,pan,Representación proporcional,Coahuila,2,,K-382
60-240,Vargas Landeros Gerardo Octavio,pri,Mayoría Relativa,Sinaloa,2,Ahome,M-482
60-241,Ojeda Camacho Gilberto,pri,Mayoría Relativa,Sinaloa,3,Salvador Alvarado,M-479
60-242,Barajas López Ramón,pri,Mayoría Relativa,Sinaloa,4,Guasave,F-189
60-243,Ortíz Hernández Eduardo,pan,Mayoría Relativa,Sinaloa,5,Culiacán,E-136
60-244,Amador Gaxiola Daniel,pri,Mayoría Relativa,Sinaloa,6,Mazatlán,M-483
60-245,Patrón Montalvo Jesús Manuel,pri,Mayoría Relativa,Sinaloa,7,Culiacán,M-481
60-246,Felton González Carlos Eduardo,pan,Mayoría Relativa,Sinaloa,8,Mazatlán,G-207
60-247,Palafox Núñez José Inés,pan,Mayoría Relativa,Sonora,1,San Luis Río Colorado,M-463
60-391,Gloria Requena Tomás,pri,Representación proporcional,Tamaulipas,2,,M-493
60-396,García Noriega Ma. Guadalupe Josefina,pvem,Representación proporcional,Veracruz,3,,G-220
60-157,Luna Munguía Alma Lilia,prd,Mayoría Relativa,México,32,Valle de Chalco Solidaridad,E-152
60-397,Madrid Tovilla Arely,pri,Representación proporcional,Chiapas,3,,L-447
60-385,Chaurand Arzate Carlos,pri,Representación proporcional,Guanajuato,2,,L-438
60-384,Velázquez Beeck Ana Teresa,pvem,Representación proporcional,Coahuila,2,,G-221
60-387,Ramírez Stabros Jesús,pri,Representación proporcional,San Luis Potosí,2,,L-437
