id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
51-800.TX,2002-11-27T18:36:35,MPV Nº 70/2002 - PROJETO DE LEI DE CONVERSÃO,CD04,ordinary,21,ordinary,262,53,15,5,0
51-811.TX,2002-12-18T13:44:16,PLP Nº 01-A/1991 - EMENDA SUBSTITUTIVA DE PLENÁRIO,CD06,extraordinary,0,extraordinary,306,2,1,0,0
51-812.TX,2002-12-18T15:29:47,PEC Nº 559/2002 - EMENDA CONSTITUCIONAL,CD06,extraordinary,0,extraordinary,326,20,5,0,0
51-814.TX,2002-12-18T19:21:58,PEC Nº 559/2002 - SEGUNDO TURNO,CD06,extraordinary,0,extraordinary,328,18,4,0,0
51-815.TX,2002-12-18T21:25:40,PLP Nº 275/2001 - PROJETO,CD06,extraordinary,0,extraordinary,247,1,2,0,0
51-802.TX,2002-12-11T20:27:49,"MPV Nº 66/2002 - DVS -  ART. 64 (PRORROGA ALÍQUOTA 27,5% DO IR PF)",CD04,ordinary,23,ordinary,265,127,4,0,0
51-803.TX,2002-12-11T23:00:01,PLP Nº 349/2002 - REQUERIMENTO DE URGÊNCIA,CD04,ordinary,23,ordinary,277,5,0,0,0
51-804.TX,2002-12-11T23:09:47,PLP Nº 347/2002 - REQUERIMENTO DE URGÊNCIA,CD04,ordinary,23,ordinary,282,5,1,0,0
51-805.TX,2002-12-11T23:16:51,PL Nº 6770/2002 - REQUERIMENTO DE URGÊNCIA,CD04,ordinary,23,ordinary,290,7,0,0,0
51-806.TX,2002-12-11T23:35:47,PLP Nº 349/2002 - PROJETO,CD04,ordinary,23,ordinary,293,7,0,0,0
51-807.TX,2002-12-11T23:49:01,PLP Nº 347/2002 - PROJETO,CD04,ordinary,23,ordinary,292,7,1,0,0
51-808.TX,2002-12-12T00:48:52,PL Nº 6770/2002 - DVS DO ARTIGO 14 DA EMENDA SUBSTITUTIVA Nº 1 DE PLENÁRIO,CD04,ordinary,23,ordinary,212,86,3,0,0
51-809.TX,2002-12-12T02:43:36,PEC Nº 559/2002 - PRIMEIRO TURNO,CD04,ordinary,23,ordinary,284,21,1,0,0
