vote_event_id,voter_id,option,group_id
51-692.TX,51-459,yes,psdb
51-692.TX,51-171,yes,pmdb
51-692.TX,51-251,no,pdt
51-692.TX,51-464,yes,pl
51-692.TX,51-593,yes,pt
51-692.TX,51-587,yes,pt
51-692.TX,51-49,no,pl
51-692.TX,51-256,yes,psdb
51-692.TX,51-463,yes,pmdb
51-692.TX,51-618,yes,pfl
51-692.TX,51-509,yes,pmdb
51-692.TX,51-460,yes,pt
51-692.TX,51-43,yes,pfl
51-692.TX,51-320,no,psb
51-692.TX,51-213,yes,pfl
51-692.TX,51-542,no,pfl
51-692.TX,51-257,yes,pt
51-692.TX,51-321,yes,psdb
51-692.TX,51-484,yes,pfl
51-692.TX,51-503,no,pl
51-692.TX,51-384,yes,psdb
51-692.TX,51-626,yes,ppb
51-692.TX,51-214,yes,pfl
51-692.TX,51-79,yes,pfl
51-692.TX,51-66,yes,psdb
51-692.TX,51-410,no,pfl
51-692.TX,51-510,yes,pt
51-692.TX,51-520,yes,pfl
51-692.TX,51-412,yes,pt
51-692.TX,51-539,yes,ppb
51-692.TX,51-162,yes,pt
51-692.TX,51-80,no,pfl
51-692.TX,51-403,yes,ppb
51-692.TX,51-212,yes,pfl
51-692.TX,51-82,yes,pmdb
51-692.TX,51-438,yes,ppb
51-692.TX,51-177,no,psb
51-692.TX,51-259,yes,pl
51-692.TX,51-614,yes,pps
51-692.TX,51-103,yes,pmdb
51-692.TX,51-505,no,pdt
51-692.TX,51-388,yes,pt
51-692.TX,51-258,yes,psdb
51-692.TX,51-102,yes,psdb
51-692.TX,51-32,yes,pl
51-692.TX,51-168,no,pps
51-692.TX,51-617,no,pl
51-692.TX,51-482,yes,pmdb
51-692.TX,51-33,no,ptb
51-692.TX,51-465,yes,ppb
51-692.TX,51-390,yes,pt
51-692.TX,51-282,yes,pps
51-692.TX,51-163,yes,ppb
51-692.TX,51-385,yes,ptb
51-692.TX,51-137,yes,psdb
51-692.TX,51-518,yes,psdb
51-692.TX,51-280,yes,pmdb
51-692.TX,51-323,yes,ptb
51-692.TX,51-104,yes,pfl
51-692.TX,51-84,yes,psdb
51-692.TX,51-386,yes,pfl
51-692.TX,51-322,yes,pfl
51-692.TX,51-215,yes,pmdb
51-692.TX,51-262,yes,ppb
51-692.TX,51-260,yes,ptb
51-692.TX,51-105,yes,psdb
51-692.TX,51-429,yes,pfl
51-692.TX,51-622,yes,psdb
51-692.TX,51-263,no,pl
51-692.TX,51-611,yes,psdb
51-692.TX,51-325,yes,pfl
51-692.TX,51-467,yes,pps
51-692.TX,51-394,no,pps
51-692.TX,51-387,yes,psdb
51-692.TX,51-395,yes,psdb
51-692.TX,51-468,yes,pfl
51-692.TX,51-265,no,pmdb
51-692.TX,51-574,yes,psdb
51-692.TX,51-216,yes,psdb
51-692.TX,51-86,yes,psdb
51-692.TX,51-485,yes,pdt
51-692.TX,51-16,yes,pfl
51-692.TX,51-266,no,pcdob
51-692.TX,51-108,no,psb
51-692.TX,51-160,yes,ppb
51-692.TX,51-268,yes,pmdb
51-692.TX,51-39,yes,ptb
51-692.TX,51-553,yes,psdb
51-692.TX,51-327,yes,ppb
51-692.TX,51-604,no,pcdob
51-692.TX,51-389,yes,pt
